"longitude","latitude","category","name",,
"-77.04836 "," 38.90162","Pub","Froggy Bottom Pub",,
"-77.04826 "," 38.9016","Restaurant","Panda Cafe",,
"-77.04815 "," 38.90156","Restaurant","Mehran",,
"-77.04809 "," 38.90153","Restaurant","Thai Place",,
"-77.04686 "," 38.90092","Restaurant","TGI Friday",,
"-77.04682 "," 38.90113","Cafe","Capitol Grounds",,
"-77.04626 "," 38.90054","Fast Food Restaurant","Cone E. Island",,
"-77.04553 "," 38.90147","Restaurant","Primi Piatti",,
"-77.0428 "," 38.90147","district_of_columbia_Eating_Drin",,,
"-77.04469 "," 38.90054","district_of_columbia_Eating_Drin",,,
"-77.04461 "," 38.9008","Cafe","Starbucks",,
"-77.04461 "," 38.9015","Fast Food Restaurant","Baja Fresh",,
"-77.0445 "," 38.90116","Restaurant","El Chalan",,
"-77.04447 "," 38.90146","Fast Food Restaurant","Juice Zone",,
"-77.04437 "," 38.90145","Restaurant","Aroma Indian Restaurant",,
"-77.0443 "," 38.90091","Restaurant","Skye",,
"-77.04424 "," 38.90147","Restaurant","Kaz Sushi Bistro",,
"-77.04419 "," 38.90145","Fast Food Restaurant","Pete's Grill & Deli",,
"-77.04405 "," 38.90118","Restaurant","Charlie Chiang's Restaurant & Lounge",,
"-77.04386 "," 38.90148","Cafe","Sandella's",,
"-77.04376 "," 38.90116","Pub","19th Bar",,
"-77.04375 "," 38.90162","Pub","Elephant & Castle Pub Restaurant",,
"-77.04374 "," 38.90072","Cafe","Soho Cafe & Market",,
"-77.0428 "," 38.9084","district_of_columbia_Eating_Drin",,,
"-77.06329 "," 38.90172","district_of_columbia_Eating_Drin",,,
"-77.06095 "," 38.9094","district_of_columbia_Eating_Drin",,,
"-77.06329 "," 38.90172","district_of_columbia_Eating_Drin",,,
"-77.06202 "," 38.90275","Fast Food Restaurant","Hershey's",,
"-77.0631 "," 38.90277","Pub","Chadwick's",,
"-77.06141 "," 38.90277","Restaurant","Mate",,
"-77.06096 "," 38.90437","Restaurant","Il Canale",,
"-77.06258 "," 38.90438","Cafe","Ching Ching Cha",,
"-77.06163 "," 38.90439","Restaurant","Sea Catch Restaurant",,
"-77.06258 "," 38.90444","Restaurant","Filomena Ristorante",,
"-77.06302 "," 38.90451","Restaurant","Papa Razzi",,
"-77.06259 "," 38.90452","Restaurant","Rugby Cafe",,
